AÑO JUDICIAL;"TÍTULO GENERAL  
(MATERIA DEL RECURSO)";"TÍTULO ESPECIFICO 
(SUMILLA)";FUENTE LIBRO
1871-1872;---;El despojo causado por las autoridades políticas, no siempre da lugar al recurso de protección autorizado por el artículo 1526 del Código de Enjuiciamientos;Anales Judiciales del Perú  1871-1872 
1871-1872;---;Prescripción adquisitiva.- La posesión de más de cuarenta años, constituye título de dominio;Anales Judiciales del Perú  1871-1872
1871-1872;---;Comiso;Anales Judiciales del Perú  1871-1872
1871-1872;---;Personería;Anales Judiciales del Perú  1871-1872
1871-1872;---;Personería;Anales Judiciales del Perú  1871-1872
1871-1872;---;La declaración que se hace en la escritura de adquisición de gravar en el inmueble un censo, presta mérito bastante para proceder ejecutivamente al cobre de los réditos;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cobro de cantidad de pesos;Anales Judiciales del Perú  1871-1872
1871-1872;---;Las Cortes Superiores, al estrañar la conducta de los jueces, proceden en el ejercicio de sus facultades, disciplinarias, de modo que tales medidas no dan lugar, por consiguiente, al extraordinario recurso de nulidad;Anales Judiciales del Perú  1871-1872
1871-1872;---;Los peritos, que para mejor resolver, nombran de oficio los jueces en causas criminales, no pueden ser tachados por el acusado - En el plenario, puede éste hacer uso de su derecho con areglo á la ley;Anales Judiciales del Perú  1871-1872
1871-1872;---;La semiplena probanza, para el efecto de pedir alimentos provisionales, no es título bastante para reclamar alimentos permanentes;Anales Judiciales del Perú  1871-1872
1871-1872;---;Robo en cuadrilla;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cantidad de soles;Anales Judiciales del Perú  1871-1872
1871-1872;---;Personería del apoderado para intervenir en juicio;Anales Judiciales del Perú  1871-1872
1871-1872;---;El Gerente de una compañía, no tiene personería para oponerse al embargo de la acción de un socio cuando no se dispone, á la vez, sobre los intereses de semejante compañía;Anales Judiciales del Perú  1871-1872
1871-1872;---;Las minas de petroleo ¿están sujetas á las Ordenanzas de Minería ó á las leyes de la Novísima recopilación? - Modo de resolver el punto;Anales Judiciales del Perú  1871-1872
1871-1872;---;Caso en que el padre, en estado de ebriedad y sin intensión de mata, causa la muertede su hijo, proponiéndose únicamente corregirlo, merece la la pena de 14 años de penitenciaría;Anales Judiciales del Perú  1871-1872
1871-1872;---;La vía ejecutiva está expedita para exijir el cumplimiento de obligaciones procedentes de un contrato de arrendamiento fenecido;Anales Judiciales del Perú  1871-1872
1871-1872;---;Personería  ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Insubsistencia de lo actuado, por irregularidades en el procedimiento;Anales Judiciales del Perú  1871-1872
1871-1872;---;Misión en posesión;Anales Judiciales del Perú  1871-1872
1871-1872;---;Robo en cuadrilla - Error en el modo de computar las penas;Anales Judiciales del Perú  1871-1872
1871-1872;---;El incidente sobre exhibición de libros, cuando éstos se piden en parte de prueba, dá lugar al extraordinario recurso de nulidad;Anales Judiciales del Perú  1871-1872
1871-1872;---;Pendiente una incidencia, no puede declararse consentida y ejecutoriada la sentencia;Anales Judiciales del Perú  1871-1872
1871-1872;---;Extensión de la responsabilidad del fiador mancomunado con el obligado ;Anales Judiciales del Perú  1871-1872
1871-1872;---;El guardador nombrado por un consejo de familia irregularmente formado, no tiene derecho á que se le discierna cargo;Anales Judiciales del Perú  1871-1872
1871-1872;---;Despojo judicial;Anales Judiciales del Perú  1871-1872
1871-1872;---;Caso en que la estralimitación de los peritos, al emitir sus dictámenes, no da lugar al recurso extraordinario de nulidad;Anales Judiciales del Perú  1871-1872
1871-1872;---;Caso en que la sala del crimen debe componerse de cinco vocales;Anales Judiciales del Perú  1871-1872
1871-1872;---;Insubsistencia de un fallo de vista, por ser uno de los vocales hermano del juez que lo pronunció en primera instancia;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cuentas rendidas por los consignatarios del huano (guano) en los Estados Unidos;Anales Judiciales del Perú  1871-1872
1871-1872;---;Homicidio en despoblado con propósito de robar;Anales Judiciales del Perú  1871-1872
1871-1872;---;Pago de merced conductiva;Anales Judiciales del Perú  1871-1872
1871-1872;---;Tercería excluyente;Anales Judiciales del Perú  1871-1872
1871-1872;---;Nulidad de un auto de solvendo.- Responsabilidad del juez que lo pronunció;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cantidad de soles;Anales Judiciales del Perú  1871-1872
1871-1872;---;Intestado;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cantidad de soles;Anales Judiciales del Perú  1871-1872
1871-1872;---;Rescisión de un contrato de arrendamiento;Anales Judiciales del Perú  1871-1872
1871-1872;---;Abandono de la segunda instancia;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cantidad de soles;Anales Judiciales del Perú  1871-1872
1871-1872;---;La enemistad capital del enjuiciado el cuñado del juez constituye causa lejítima de excusa;Anales Judiciales del Perú  1871-1872
1871-1872;---;Robo;Anales Judiciales del Perú  1871-1872
1871-1872;---;Declinación de jurisdicción;Anales Judiciales del Perú  1871-1872
1871-1872;---;Prescripción de la acción para demandar la nulidad de un testamentoen que el otorgante instituye á su alma por heredera;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cantidad de soles;Anales Judiciales del Perú  1871-1872
1871-1872;---;"Arribada sospechosa al Callao del buque cargado de huano ""Bethiah Thayer"" - El Gobierno somete á juicio á su capitán.- No se le prueba el dolo que se le imputa, por lo que se le absuelve de la instancia únicamente ";Anales Judiciales del Perú  1871-1872
1871-1872;---;El derecho de muellaje.- Se cobra por la vía coactiva de apremio y pago;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cumplimiento de un contrato;Anales Judiciales del Perú  1871-1872
1871-1872;---;Si el otorgante de un documento de obligación de debe, reconoce su firma, y declara , á la vez, que autorizó su descuento, está expedita la vía ejecutiva;Anales Judiciales del Perú  1871-1872
1871-1872;---;Provisión de Capellanías;Anales Judiciales del Perú  1871-1872
1871-1872;---;Homicidio ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Responsablidad del Estado, por haber tomado para su servicio una lancha de propiedad particular;Anales Judiciales del Perú  1871-1872
1871-1872;---;Mandamiento de prisión en forma;Anales Judiciales del Perú  1871-1872
1871-1872;---;Recusación ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Despojo judicial;Anales Judiciales del Perú  1871-1872
1871-1872;---;Los jueces no pueden alterar los autos consentidos ó confirmados;Anales Judiciales del Perú  1871-1872
1871-1872;---;División de bienes;Anales Judiciales del Perú  1871-1872
1871-1872;---;Recusación por causa de parentesco de afinidad ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Provisión de una capellanía ;Anales Judiciales del Perú  1871-1872
1871-1872;---;El auto de no innovación no da lugar al recurso de nulidad;Anales Judiciales del Perú  1871-1872
1871-1872;---;Robo;Anales Judiciales del Perú  1871-1872
1871-1872;---;Robo;Anales Judiciales del Perú  1871-1872
1871-1872;---;Querella de despojo;Anales Judiciales del Perú  1871-1872
1871-1872;---;Preferencia por el tanto;Anales Judiciales del Perú  1871-1872
1871-1872;---;Prueba testimonial;Anales Judiciales del Perú  1871-1872
1871-1872;---;Despojo ;Anales Judiciales del Perú  1871-1872
1871-1872;---;La ley sobre crédito hipotecarios de 1869, no debe aplicarse á otros juicios que á los que promuevan los bancos;Anales Judiciales del Perú  1871-1872
1871-1872;---;Conflicto entre el reglamento de tribunales y el de comercio;Anales Judiciales del Perú  1871-1872
1871-1872;---;División de bienes;Anales Judiciales del Perú  1871-1872
1871-1872;---;Comiso;Anales Judiciales del Perú  1871-1872
1871-1872;---;Nulidad de lo actuado, por la abreviación de formas ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Es inadmisible en derecho el desistimiento que cede en daño de tercero ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Nulidad de lo actuado, por falta de citación;Anales Judiciales del Perú  1871-1872
1871-1872;---;Rendición de cuentas;Anales Judiciales del Perú  1871-1872
1871-1872;---;Nulidad de lo actuado;Anales Judiciales del Perú  1871-1872
1871-1872;---;Homicidio;Anales Judiciales del Perú  1871-1872
1871-1872;---;Posesión;Anales Judiciales del Perú  1871-1872
1871-1872;---;Flagelación;Anales Judiciales del Perú  1871-1872
1871-1872;---;Misión en posesión;Anales Judiciales del Perú  1871-1872
1871-1872;---;Facultades de la Municipalidad en orden á la administración del agua de propiedad de la cíudad ;Anales Judiciales del Perú  1871-1872
1871-1872;---;No pueden seguirse simultáneamente dos causas cuando la una debe ser consecuencia necesaria de la otra;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cuando se agrava la pena impuesta en primera instancia al reo, debe oírsele á éste y nombrarle defensor;Anales Judiciales del Perú  1871-1872
1871-1872;---;Interpretación de un testamento;Anales Judiciales del Perú  1871-1872
1871-1872;---;Homicidio;Anales Judiciales del Perú  1871-1872
1871-1872;---;Caso en que no procede la desacumulación de acciones;Anales Judiciales del Perú  1871-1872
1871-1872;---;El homicidio alevoso debe sufrir la pena de muerte;Anales Judiciales del Perú  1871-1872
1871-1872;---;Caso en que la nulidad de una notificación, no origina el recurso extraordinario;Anales Judiciales del Perú  1871-1872
1871-1872;---;Juicio sobre restitución in íntegrum;Anales Judiciales del Perú  1871-1872
1871-1872;---;La insubsistencia del auto de vista, no siempre da lugar al recurso extraordinario de nulidad;Anales Judiciales del Perú  1871-1872
1871-1872;---;Amparo en posesión de pertenencias de petróleo;Anales Judiciales del Perú  1871-1872
1871-1872;---;Desocupación de una casa;Anales Judiciales del Perú  1871-1872
